Id,LotArea,YearBuilt,BedroomAbvGr,LotShape,CentralAir,LotFrontage,MasVnrArea,GarageYrBlt,GarageType,SalePrice
1,8450,2003,3,Reg,Y,65,196,2003,Attchd,199837.242
2,9600,1976,3,Reg,Y,80,0,1976,Attchd,173959.038
3,11250,2001,3,IR1,Y,68,162,2001,Attchd,214214.022
4,9550,1915,3,IR1,Y,60,0,1998,Detchd,134183.28
5,14260,2000,4,IR1,Y,84,350,2000,Attchd,239613
6,14115,1993,1,IR1,Y,85,0,1993,Attchd,137058.636
7,10084,2004,3,Reg,Y,75,186,2004,Attchd,294244.764
8,10382,1973,3,IR1,Y,NA,240,1973,Attchd,191690.4
9,6120,1931,2,Reg,Y,51,0,1931,Detchd,124502.9148
10,7420,1939,2,Reg,Y,50,0,1939,Attchd,113097.336
11,11200,1965,3,Reg,Y,70,0,1965,Detchd,124119.534
12,11924,2005,4,IR1,Y,85,286,2005,BuiltIn,330665.94
13,12968,1962,2,IR2,Y,NA,0,1962,Detchd,138017.088
14,10652,2006,3,IR1,Y,91,306,2006,Attchd,267887.334
15,10920,1960,2,IR1,Y,NA,212,1960,Attchd,150476.964
16,6120,1929,2,Reg,Y,51,0,1991,Detchd,126515.664
17,11241,1970,2,IR1,Y,NA,180,1970,Attchd,142809.348
18,10791,1967,2,Reg,Y,72,0,1967,CarPort,86260.68
19,13695,2004,3,Reg,Y,66,0,2004,Detchd,152393.868
20,7560,1958,3,Reg,Y,70,0,1958,Attchd,133224.828
21,14215,2005,4,IR1,Y,101,380,2005,BuiltIn,311784.4356
22,7449,1930,3,Reg,Y,57,0,1930,Attchd,133608.2088
23,9742,2002,3,Reg,Y,75,281,2002,Attchd,220443.96
24,4224,1976,3,Reg,Y,44,0,1976,Attchd,124502.9148
25,8246,1968,3,IR1,Y,NA,0,1968,Attchd,147601.608
26,14230,2007,3,Reg,Y,110,640,2007,Attchd,245651.2476
27,7200,1951,3,Reg,Y,60,0,2005,Detchd,129199.3296
28,11478,2007,3,Reg,Y,98,200,2008,Attchd,293286.312
29,16321,1957,2,IR1,Y,47,0,1957,Attchd,198878.79
30,6324,1927,1,IR1,N,60,0,1920,Detchd,65653.962
31,8500,1920,3,Reg,N,50,0,1920,Detchd,38338.08
32,8544,1966,3,IR1,Y,NA,0,1966,Attchd,143144.8062
33,11049,2007,3,Reg,Y,85,0,2007,Attchd,172425.5148
34,10552,1959,4,IR1,Y,70,0,1959,Attchd,158623.806
35,7313,2005,2,Reg,Y,60,246,2005,Attchd,265970.43
36,13418,2004,4,Reg,Y,108,132,2004,BuiltIn,296161.668
37,10859,1994,3,Reg,Y,112,0,1995,Attchd,138975.54
38,8532,1954,3,Reg,Y,74,650,1954,Attchd,146643.156
39,7922,1953,3,Reg,Y,68,0,1953,Detchd,104471.268
40,6040,1955,2,Reg,N,65,0,NA,NA,78593.064
41,8658,1965,3,Reg,Y,84,101,1965,Attchd,153352.32
42,16905,1959,2,Reg,Y,115,0,1959,Attchd,162936.84
43,9180,1983,2,IR1,Y,NA,0,1983,Attchd,138017.088
44,9200,1975,3,IR1,Y,NA,0,1977,Detchd,124838.373
45,7945,1959,3,Reg,Y,70,0,1959,Attchd,135141.732
46,7658,2005,2,Reg,Y,61,412,2005,Attchd,306608.7948
47,12822,2003,1,IR1,Y,48,0,2003,Attchd,229727.5261
48,11096,2006,3,Reg,Y,84,0,2006,Attchd,239325.4644
49,4456,1920,2,Reg,Y,33,0,NA,NA,108305.076
50,7742,1966,3,Reg,Y,66,0,1966,Attchd,121723.404
51,13869,1997,3,IR2,Y,NA,0,1997,Attchd,169646.004
52,6240,1934,3,Reg,Y,52,0,1985,Detchd,109742.754
53,8472,1963,2,IR2,N,110,0,1963,CarPort,105429.72
54,50271,1981,0,IR1,Y,68,0,1981,Attchd,369004.02
55,7134,1955,3,Reg,Y,60,0,1962,Detchd,124598.76
56,10175,1964,3,IR1,Y,100,272,1964,Attchd,173000.586
57,2645,1999,3,Reg,Y,24,456,1999,Attchd,165332.97
58,11645,2004,3,IR1,Y,89,0,2004,Attchd,188335.818
59,13682,2006,3,IR2,Y,66,1031,2006,BuiltIn,420549.5686
60,7200,1972,2,Reg,Y,60,0,1973,Detchd,119710.6548
61,13072,2004,3,Reg,Y,63,0,2006,Detchd,151435.416
62,7200,1920,3,Reg,N,60,0,1935,Detchd,96803.652
63,6442,2006,2,IR1,Y,44,178,2006,Attchd,194086.53
64,10300,1921,3,IR1,Y,50,0,1990,Detchd,134183.28
65,9375,1997,3,Reg,Y,NA,573,1998,Attchd,210380.214
66,9591,2004,4,Reg,Y,76,344,2004,BuiltIn,303829.284
67,19900,1970,3,Reg,Y,NA,287,1970,Attchd,172521.36
68,10665,2003,3,IR1,Y,72,167,2003,Attchd,216610.152
69,4608,1945,2,Reg,Y,47,0,1945,Attchd,76676.16
70,15593,1953,3,Reg,Y,81,0,1953,Attchd,215651.7
71,13651,1973,3,IR1,Y,95,1115,1973,Attchd,233862.288
72,7599,1982,2,Reg,Y,69,0,1987,Detchd,124119.534
73,10141,1998,3,IR1,Y,74,40,1998,Attchd,177313.62
74,10200,1954,3,Reg,Y,85,104,1989,Attchd,138879.6948
75,5790,1915,3,Reg,N,60,0,1915,Detchd,102937.7448
76,1596,1973,2,Reg,Y,21,0,1973,BuiltIn,87219.132
77,8475,1956,2,IR1,Y,NA,0,1956,Detchd,130109.859
78,8635,1948,2,Reg,Y,50,0,1948,Detchd,121723.404
79,10778,1968,4,Reg,N,72,0,NA,NA,130828.698
80,10440,1910,2,Reg,Y,60,0,1966,Detchd,105429.72
81,13000,1968,4,Reg,Y,100,576,1968,Attchd,185460.462
82,4500,1998,2,Reg,Y,32,443,1998,Attchd,147122.382
83,10206,2007,3,Reg,Y,78,468,2007,Attchd,234820.74
84,8892,1960,3,IR1,Y,80,66,1974,Detchd,121244.178
85,8530,1995,3,IR1,Y,NA,22,1995,BuiltIn,161499.162
86,16059,1991,4,Reg,Y,121,284,1991,Attchd,249197.52
87,11911,2005,3,IR2,Y,122,0,2005,BuiltIn,166770.648
88,3951,2009,2,Reg,Y,40,76,2009,Detchd,157665.354
89,8470,1915,2,IR1,N,105,0,NA,NA,81468.42
90,8070,1994,3,Reg,Y,60,0,NA,NA,118464.6672
91,7200,1950,2,Reg,Y,60,0,1950,Detchd,105333.8748
92,8500,1961,2,Reg,Y,85,203,1961,Attchd,94503.3672
93,13360,1921,2,IR1,Y,80,0,1921,Detchd,156706.902
94,7200,1910,4,Reg,N,60,0,1900,Detchd,128336.7228
95,9337,1997,3,IR1,Y,69,0,1997,Attchd,196243.047
96,9765,1993,3,IR2,Y,NA,68,1993,BuiltIn,177313.62
97,10264,1999,3,IR1,Y,78,183,1999,Attchd,205108.728
98,10921,1965,3,Reg,Y,73,48,1965,Attchd,90813.327
99,10625,1920,2,Reg,N,85,0,1920,Basment,79551.516
100,9320,1959,3,IR1,Y,77,0,NA,NA,123592.3854
101,10603,1977,3,IR1,Y,NA,28,1977,Attchd,196482.66
102,9206,1985,3,Reg,Y,77,336,1985,Attchd,170604.456
103,7018,1979,4,Reg,Y,64,0,1979,Attchd,114021.2837
104,10402,2009,3,IR1,Y,94,0,2009,Attchd,190636.1028
105,7758,1931,4,Reg,Y,NA,600,1951,Detchd,162457.614
106,9375,2003,3,Reg,Y,75,768,2003,Attchd,239613
107,10800,1885,2,Reg,Y,60,0,1954,Detchd,95845.2
108,6000,1948,2,Reg,Y,50,0,1948,Detchd,110221.98
109,8500,1919,3,Reg,N,85,0,NA,NA,110221.98
110,11751,1977,3,IR1,Y,105,480,1977,Attchd,182105.88
111,9525,1954,4,Reg,Y,75,0,1954,Attchd,131212.0788
112,7750,2000,3,IR1,Y,NA,0,2000,BuiltIn,172521.36
113,9965,2007,4,Reg,Y,77,220,2007,BuiltIn,368016.8144
114,21000,1953,3,Reg,Y,NA,184,1953,Basment,207984.084
115,7259,1945,3,IR1,Y,61,0,1945,Detchd,248718.294
116,3230,1999,2,Reg,Y,34,1129,1999,Detchd,168687.552
117,11616,1962,3,Reg,Y,NA,116,1962,Attchd,133224.828
118,8536,2006,2,Reg,Y,74,0,2007,Attchd,148560.06
119,12376,1990,5,Reg,Y,90,0,1990,Attchd,306704.64
120,8461,2005,3,Reg,Y,65,0,2005,Attchd,157176.5435
121,21453,1969,1,IR1,Y,NA,0,1969,Attchd,172521.36
122,6060,1939,3,Reg,Y,50,0,1979,Detchd,95845.2
123,9464,1958,3,Reg,Y,75,135,1958,Attchd,130349.472
124,7892,1993,2,Reg,Y,55,0,1993,Attchd,147505.7628
125,17043,1979,3,IR1,Y,48,0,1979,Attchd,173479.812
126,6780,1935,2,Reg,N,60,0,NA,NA,80989.194
127,4928,1976,2,IR1,Y,NA,0,1977,Attchd,122681.856
128,4388,1930,3,IR1,Y,55,0,NA,NA,83385.324
129,7590,1966,3,Reg,Y,69,266,1966,Attchd,148560.06
130,8973,1958,3,Reg,Y,69,85,1998,2Types,143767.8
131,14200,1966,4,Reg,Y,88,309,1966,Attchd,216610.152
132,12224,2000,3,IR1,Y,NA,40,2000,BuiltIn,233862.288
133,7388,1959,3,Reg,Y,75,0,1974,Detchd,144486.639
134,6853,2001,2,IR1,Y,NA,136,2001,Attchd,210859.44
135,10335,1968,3,IR1,Y,78,0,1968,Attchd,172521.36
136,10400,1970,3,Reg,Y,80,288,1970,Attchd,166770.648
137,10355,1967,3,IR1,Y,NA,196,1967,Attchd,137058.636
138,11070,1988,5,Reg,Y,82,70,1989,2Types,163895.292
139,9066,1999,3,IR1,Y,73,320,1999,Attchd,220443.96
140,15426,1997,3,IR1,Y,65,0,1997,Attchd,221881.638
141,10500,1971,3,Reg,Y,70,0,NA,NA,110221.98
142,11645,2005,3,Reg,Y,78,0,2005,Attchd,249197.52
143,8520,1952,4,Reg,Y,71,0,2000,Detchd,159103.032
144,10335,1999,3,IR1,Y,78,183,1999,Attchd,195524.208
145,9100,1963,6,Reg,Y,70,336,1963,Detchd,119806.5
146,2522,2004,3,Reg,Y,24,50,2004,Detchd,124598.76
147,6120,1931,2,Reg,Y,51,0,1931,Detchd,100637.46
148,9505,2001,3,IR1,Y,NA,180,2001,BuiltIn,213255.57
149,7500,2004,3,Reg,Y,63,120,NA,NA,135141.732
